Quận,Phường,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Phòng Khách,Car room,Số phòng ngủ,WC,Diện tích, Dài ,    Rộng    ,Giá/m2
5,2,3,1,5,2,1,6,5,58,14,3.99,62.07
5,6,2,4,5,1,1,5,5,50,12.5,3.89,140
9,5,3,1,4,1,1,4,3,61,19,3.83,66.39
9,2,3,1,4,1,1,4,2,50,25.96,3.5,75
5,1,3,1,4,1,1,5,2,64,17,3.63,71.88
10,13,3,1,4,1,0,4,4,27,13.08,3.61,92.59
9,7,3,1,5,2,0,5,5,45,40.26,3.82,157.78
6,11,3,1,4,1,0,3,4,35,23.15,2.93,97
8,2,3,4,2,1,0,2,2,45,12,3.79,57.78
8,2,2,1,3,1,0,5,2,50,16,3.73,74
11,7,2,4,4,1,0,4,3,50,9,5.5,102
28,1,3,1,2,1,1,3,2,106,15,6,32.55
6,15,3,1,4,1,0,4,4,30,7,3.6,183.33
6,12,3,1,4,1,0,4,4,30,19.88,3.82,96.67
4,7,2,1,5,2,0,5,3,68,12.36,5.5,220.59
12,1,3,4,5,2,0,4,4,40,10,3.63,85
5,8,3,1,5,2,0,4,5,50,8,6,100
1,13,3,1,4,1,0,3,2,30,12.4,3.2,66.67
6,10,3,1,1,1,0,3,1,40,9,2.91,70
7,15,2,4,1,1,1,3,1,32,9,3.89,93.75
6,7,3,1,5,2,0,5,5,45,11,3.62,86.67
6,6,3,1,4,1,0,4,3,25,8,3.77,94
29,3,3,1,1,1,0,1,1,80,20,3.88,16.25
11,8,3,1,4,1,0,4,2,41,12.81,3.97,71.95
6,7,3,4,3,1,0,4,4,40,12,35,87.5
6,15,3,1,4,1,0,4,2,38,9.5,3.61,86.84
5,8,3,1,4,1,0,4,2,58,5.27,11,80.17
5,1,3,1,5,1,1,6,3,52,46.8,2.46,81.73
8,3,2,1,4,1,0,5,3,38,15.17,3.69,131.05
11,1,3,1,1,1,1,3,1,47,10,5,51.06
6,15,3,1,6,1,0,4,6,38,9.5,2.81,89.47
7,6,2,1,4,1,1,3,4,24,12.7,3.56,182.5
6,17,3,1,5,1,1,4,3,50,10,2.64,185
4,7,3,1,4,1,0,4,4,32,9,2.38,60.94
9,5,3,1,3,1,0,3,4,31,10,3.65,64.52
12,5,3,1,6,2,1,10,5,52,10.4,5,100
7,17,3,1,5,2,0,3,3,33,11,3.27,109.09
10,15,3,1,6,2,0,4,6,45,11,3.85,58.89
10,13,4,1,4,1,0,4,3,48,12,3.35,83.33
3,8,3,1,4,1,0,3,3,28,13.84,2.85,103.57
9,2,2,1,5,1,1,4,5,41,10,3.61,70.73
9,6,3,1,7,2,0,3,5,30,7.5,3.56,130
6,4,2,4,2,1,0,3,4,34,9,2.73,97.06
11,12,2,1,4,1,1,4,4,68,13.6,5,63.97
10,15,3,1,1,1,0,3,1,41,12,3.36,64.63
11,1,1,1,5,1,2,6,4,59,11.8,5,84.75
4,11,3,1,5,2,0,3,5,40,10,2.95,80
6,8,2,1,3,1,1,3,2,30,11,3.62,93.33
8,2,3,4,3,1,0,4,3,40,10,3.56,80
28,10,3,1,3,1,0,3,4,35,9,3.97,62.86
4,12,3,1,4,1,0,3,3,32,15.7,3.87,60.94
4,8,2,1,5,2,1,3,5,37,12.4,3.56,83.78
3,1,3,1,5,2,0,3,5,28,14.28,3.19,114.29
1,14,2,1,7,1,1,5,5,75,12,6.2,194.67
8,3,3,4,5,2,0,4,5,35,11,36,157.14
9,5,2,1,3,1,1,4,3,70,10,7,95.71
5,8,3,1,4,1,0,3,3,52,4.52,11.5,91.35
5,3,3,4,1,1,0,3,1,50,13,38,60
5,5,3,1,7,2,0,8,7,66,16,3.98,89.39
4,7,2,1,3,1,0,4,2,63,18,35,78.57
7,3,2,1,4,1,0,4,2,31,18.53,3.93,62.9
9,1,3,4,3,1,0,4,3,35,7,2.81,85.71
5,3,1,1,6,2,1,6,6,170,13,14,264.71
4,8,3,1,5,1,0,3,5,32,19.16,3.12,89.06
8,1,3,4,3,1,0,4,3,47,9,3.9,97.87
4,7,1,1,4,1,2,5,3,172,17.2,10,63.95
4,14,2,1,1,1,1,1,1,145,55.52,3.63,79.31
6,18,2,1,1,1,0,3,1,30,7.3,3.94,96.67
9,11,2,1,8,1,1,8,6,108,17.42,6.2,166.67
10,5,3,4,2,1,0,3,3,60,45.45,3.56,40
6,7,3,1,5,1,0,4,5,37,19,4,164.86
6,11,3,1,6,1,0,4,5,56,11,11,71.43
6,18,2,4,8,2,0,10,8,78,19.5,3.74,474.36
6,16,2,1,4,1,0,3,4,42,7,6,96.43
6,4,3,1,1,1,0,2,1,30,6,2.72,66.33
4,8,2,1,3,1,1,3,3,57,12,3.96,78.95
6,5,3,1,5,1,0,4,3,34,6,5.4,114.71
9,6,3,1,5,2,0,3,4,42,31.07,3.6,85.71
10,2,1,1,4,1,1,6,3,225,25,9,75.56
5,3,3,4,4,1,1,6,4,73,14.6,5,205.48
6,9,3,1,6,1,1,6,4,72,12,6,104.17
5,7,3,4,3,1,0,4,2,42,8,3.83,125
1,4,3,1,4,1,0,4,3,40,7.55,5.3,125
9,3,2,4,1,1,1,3,1,35,8,3.6,155.71
9,7,3,4,5,1,1,4,4,50,10,2.49,136
7,20,2,4,4,1,1,4,3,44,8,6,193.18
7,6,3,1,1,1,0,2,1,25,8,3.97,72
10,16,2,1,2,1,1,4,2,50,12.5,3.84,66
5,8,3,4,5,1,0,4,5,32,7,3.76,125
9,1,2,1,8,1,1,10,7,68,17,3.53,301.47
10,12,2,4,6,2,0,4,6,40,9,3.2,125
9,3,3,1,5,1,0,2,4,22,20.45,3.23,70.45
5,1,3,1,4,1,0,2,4,48,6.4,7.5,116.67
8,6,3,1,4,1,0,3,4,20,7,3.85,70
5,7,3,1,5,2,1,6,3,82,12,6.9,158.52
6,12,4,4,5,2,0,4,3,44,10,44,193.18
5,3,3,1,4,1,0,4,4,42,11,3.68,78.57
5,2,3,1,5,2,0,4,5,43,11,2.25,111.63
10,15,3,1,5,1,0,4,5,45,12,3.65,58.89
10,6,3,1,5,1,0,4,5,40,12,3.69,100
1,6,3,1,4,1,0,4,4,50,12.5,3.96,76
3,6,3,4,3,1,1,4,2,52,23.96,3.99,86.54
12,4,2,4,5,2,0,4,4,51,12,3.84,152.94
4,14,3,1,1,1,0,2,1,68,16,3.51,38.97
7,5,3,1,4,1,0,4,2,46,17.09,3.37,70.65
5,8,2,1,5,1,1,4,3,35,27.31,2.93,94.29
7,19,3,4,1,1,0,3,1,27,11.58,2.8,111.11
8,11,3,1,5,2,0,4,3,34,11.89,3.65,72.06
10,10,3,1,5,2,0,3,5,32,8,3.35,109.38
5,4,3,1,5,2,0,3,4,45,9,2.88,153.33
9,5,2,1,5,2,0,5,3,50,26.25,3.69,120
1,3,1,1,5,1,1,6,4,120,18,6.5,237.5
12,4,3,1,6,1,0,4,4,51,12.75,2.02,78.43
10,3,3,1,4,1,0,3,4,42,10,42,40.48
9,6,3,4,2,1,0,3,4,50,15,2.03,78
12,2,2,1,5,2,1,4,3,50,12,2.2,78
5,8,3,1,5,2,0,3,5,35,7,2.38,97.14
8,6,3,1,5,1,0,3,5,35,16.82,3.91,68.57
7,17,3,1,4,1,0,4,2,40,14.43,2.53,77.5
6,13,3,1,4,1,0,4,3,43,15.86,3.4,86.05
9,6,3,1,1,1,0,3,1,35,10,37,105.71
10,12,2,1,5,2,1,10,3,143,7.15,20,90.91
7,20,2,1,6,1,1,3,4,38,6.33,6,163.16
5,3,2,1,5,2,0,4,3,60,12,5,146.67
12,5,3,1,3,1,0,3,4,40,6.8,6,61.25
9,5,3,1,4,1,1,5,4,70,16,3.87,100
9,6,3,1,7,1,0,3,6,30,7.5,3.91,130
11,12,3,1,4,1,0,4,2,68,13.6,5,63.97
5,5,2,1,6,1,1,5,6,48,12,3.83,145.83
5,1,3,1,4,1,0,3,3,30,10,3.84,88.33
8,3,2,1,5,2,1,7,4,55,6.88,8,90.91
9,5,3,1,3,1,1,4,3,70,16,3.07,100
9,3,2,1,5,1,1,9,3,70,24.57,2.87,122.14
4,7,2,1,5,2,1,4,3,31,14.84,3.79,109.68
10,6,3,1,4,1,0,3,4,51,17.93,3.98,54.9
8,2,3,1,5,2,0,5,4,39,8,3.64,74.1
10,6,2,1,1,1,1,2,1,50,10,46,62
9,6,3,1,5,1,0,4,4,31,15.23,2.74,96.77
10,15,3,1,3,1,0,4,4,45,11,3.06,58.89
10,1,4,1,3,1,0,3,2,33,8.3,3.4,40.91
3,7,3,1,4,1,1,4,2,90,10,6,57.78
7,18,3,4,1,1,0,3,1,31,4.6,6.74,95.16
8,3,3,1,5,1,0,4,4,38,7,3.2,96.05
10,15,3,1,1,1,1,3,1,50,10,3.2,53
10,15,2,1,1,1,1,3,1,50,10,2.42,53
8,11,3,4,6,2,1,4,5,65,28.48,3.77,76.92
6,17,3,1,4,1,0,5,2,35,9,3.78,100
5,4,3,1,4,1,0,5,3,50,23.19,3.71,80
7,8,3,1,5,2,0,3,5,42,17.65,3.91,70.24
1,14,3,4,5,2,1,4,4,52,8.39,6.2,138.46
5,1,3,1,4,1,0,3,4,32,10,3.61,184.38
9,7,2,1,6,2,0,4,6,88,14.67,6,227.27
5,8,3,1,5,1,0,4,3,41,7,6,148.78
10,6,3,1,3,1,0,3,3,44,7.33,6,68.18
7,6,3,1,2,1,0,3,3,60,12,5,36.5
5,2,2,1,1,1,1,3,1,50,10,3.56,186
4,7,3,1,5,1,0,3,5,34,13.38,3.59,83.82
7,6,3,1,4,1,0,4,4,41,4,3.05,89.02
9,3,3,1,2,1,0,3,4,55,12,3.6,63.64
5,8,3,1,2,1,0,3,2,35,9,3.77,92.86
6,20,2,1,2,1,1,3,4,73,15,5,136.99
10,8,2,1,4,1,1,4,4,45,11,3.56,106.67
5,3,2,1,5,2,1,6,3,46,12,3.37,105.43
9,10,2,1,3,1,0,2,4,102,18.55,5.5,191.18
8,13,2,4,2,1,1,3,2,31,10.6,3.98,75.16
8,5,2,1,5,1,0,6,5,50,25.07,3.88,65.6
7,6,3,1,4,1,0,2,4,27,9.93,3.69,66.67
5,3,3,4,3,1,0,4,2,42,21.96,3.6,100
9,11,2,1,5,2,1,6,4,65,22.53,3.98,323.08
28,14,3,1,6,2,1,6,5,50,12,3.4,71
10,12,2,4,6,1,1,4,6,33,10,3.69,157.58
9,6,2,1,4,1,0,4,3,110,14.67,7.5,168.18
7,6,3,1,3,1,0,2,4,15,4,3.75,92
6,16,3,1,4,1,0,4,3,30,11.9,3.56,111.67
1,14,3,4,1,1,0,3,1,40,10,3.3,96.25
1,3,3,1,7,2,0,5,5,65,10.83,6,253.85
9,10,2,4,4,1,0,4,3,50,12.8,3.29,350
9,4,2,1,4,1,1,4,2,60,33.37,3.79,130
6,15,3,1,2,1,0,3,4,25,6,2.49,74
10,8,2,1,3,1,1,4,4,65,24.35,3.52,260
8,11,3,1,5,1,0,4,5,35,11.72,3.94,71.43
9,6,1,1,3,1,2,4,4,122,13,9.2,121.31
3,1,2,1,3,1,0,3,3,78,14.18,5.5,191.03
6,10,3,1,5,1,0,4,4,37,12.55,3.57,86.49
6,15,3,1,5,2,0,4,4,38,17.69,3.59,89.47
12,5,3,4,6,1,1,9,4,55,12,3.65,114.55
9,11,2,1,5,1,1,5,3,55,10,5.5,187.27
9,4,3,4,6,2,1,6,6,50,12,3.26,126
4,7,3,1,6,2,0,5,5,180,18,10,61.11
9,10,3,1,5,2,0,5,3,54,10,52,103.7
5,8,3,1,5,1,0,3,4,35,17.04,2.86,111.43
10,6,3,1,4,1,0,3,3,35,9,3.57,61.43
4,6,2,1,4,1,0,5,3,87,12.43,7,56.9
3,2,2,1,4,1,1,5,2,55,25.19,3.74,90.91
5,6,1,1,3,1,1,4,3,200,20,10,110
6,1,3,1,5,2,0,6,3,69,27.05,3.4,65.22
9,4,2,1,5,1,1,3,4,45,11,3.94,157.78
4,13,2,4,3,1,0,4,2,75,15,5,106.67
7,6,3,1,2,1,0,2,2,31,3.44,9,69.35
8,9,3,1,5,2,0,4,3,40,6.67,6,90
9,5,3,1,4,1,0,3,3,27,9.47,3.83,83.33
7,6,3,4,1,1,0,2,1,16,5,3.54,87.5
6,1,3,4,2,1,0,3,2,18,5.5,3.32,80.56
1,6,1,1,5,2,1,10,5,108,12,9,231.48
1,1,3,1,5,2,0,4,5,60,21.7,2.77,118.33
7,1,3,1,4,1,1,3,2,56,29.75,2.7,58.93
5,1,2,1,5,1,0,3,5,32,11.43,3.53,90.63
12,9,3,1,4,1,0,3,3,30,9.09,2.29,93.33
1,13,3,1,4,1,0,3,2,32,9,3.94,93.44
7,3,3,1,5,2,0,5,4,50,10,3.51,145
8,3,3,1,1,1,0,3,1,36,4,3.54,77.78
3,1,3,1,6,2,0,4,6,45,10,3.75,86.67
5,8,3,1,5,1,1,4,3,53,13,3.61,128.3
10,6,3,1,4,1,0,4,4,35,9,2.3,55.71
4,7,3,1,4,1,1,4,2,73,10.2,7,71.23
5,8,4,4,4,1,0,5,4,44,10,2.89,100.91
6,10,3,1,5,2,1,5,3,50,10,2.97,130
10,10,2,1,7,1,1,6,7,60,12,5,183.33
4,7,3,1,6,2,1,4,5,72,14.4,5,69.44
8,8,2,1,4,1,0,4,3,70,14.5,3.78,107.14
6,4,3,1,4,1,0,4,2,32,8,3.56,64.06
4,6,3,4,5,1,0,4,4,41,13,4,58.54
10,6,3,4,1,1,0,3,1,35,30.34,3.02,64.29
10,4,4,1,4,1,0,4,4,40,6.7,6,100
8,1,3,1,5,1,0,3,5,33,6.5,3.63,122.73
9,10,3,1,5,1,0,3,3,33,9,3.93,112.12
4,8,2,1,5,1,1,3,3,42,10,2.64,80.95
8,5,3,1,5,2,0,7,5,40,16.66,3.91,82.5
8,13,3,1,5,2,0,3,5,37,19.31,3.17,64.05
9,6,3,4,2,1,0,3,4,35,7.8,3.89,152.86
4,9,2,1,5,1,1,5,5,41,10,3.66,68.29
8,5,3,1,5,2,0,5,4,44,26.76,3.86,89.77
4,8,3,1,4,1,0,4,2,41,10,3.69,80.49
6,17,2,1,9,2,0,8,7,120,15,8,170.83
28,11,3,1,5,2,0,4,5,50,12.5,3.33,50
8,8,2,1,5,1,1,4,5,40,10,3.78,70
9,4,4,4,3,1,1,4,3,48,41.51,3.53,233.33
9,8,3,1,5,2,0,5,5,36,9,3.95,70.83
5,1,3,1,8,2,0,10,8,140,16.47,8.5,170.71
5,4,2,1,4,1,0,4,4,39,10,3.7,85.9
6,6,3,1,5,1,0,3,3,36,10,2.98,94.44
10,5,2,1,2,1,0,1,3,35,11,3.67,65.71
7,17,2,1,4,1,0,2,3,38,9,3.24,65.79
9,5,2,1,5,2,1,5,4,43,10,2.63,165.12
9,3,3,1,5,1,0,4,5,40,11,2.69,86.25
6,17,3,1,3,1,1,4,3,53,13,3.57,179.25
7,6,3,1,2,1,0,3,2,36,4,2.55,69.44
9,9,2,1,6,2,1,4,5,33,11,3.85,77.27
4,2,3,1,4,1,0,3,3,32,27.86,3.6,54.69
6,17,2,4,5,2,1,6,3,100,20,5,139.9
8,8,3,1,5,2,0,3,4,45,11,3.82,133.33
6,2,3,1,3,1,0,2,2,37,19.94,3.27,91.89
9,5,4,1,4,1,1,5,3,98,23.3,3.41,115.31
6,6,3,1,5,2,0,4,3,35,21.2,2.76,97.14
10,2,2,4,1,1,0,3,1,200,25,8,138
9,4,3,1,2,1,0,3,2,38,8,3.55,88.16
7,6,3,1,6,2,0,8,6,40,17.57,3.42,90
9,3,2,4,6,2,0,4,6,41,19.08,2.91,175.61
10,13,3,4,3,1,0,4,2,45,31.58,3.62,102.22
5,8,3,1,3,1,0,3,2,31,19.75,2.69,91.94
6,13,2,1,8,2,1,6,8,100,11.9,8.4,200
12,4,3,4,1,1,0,2,1,40,7,6,66.25
10,5,3,1,4,1,0,3,2,33,9,3.35,81.82
10,15,2,4,6,1,1,8,4,70,17,3.59,214
9,2,3,1,4,1,0,4,3,50,23.51,2.43,62
15,4,3,4,2,1,0,2,4,46,9.79,3.78,15
5,8,3,1,5,2,1,6,5,55,23.52,3.78,84.55
1,6,1,4,8,1,2,9,8,107,12,9,233.64
4,6,2,1,2,1,1,1,3,100,20,5,39
4,2,3,1,2,1,0,3,2,30,9,3.57,56.83
7,18,3,1,5,2,0,4,4,40,10,3.9,80
6,21,2,1,3,1,1,2,2,35,13.44,2.45,242.86
5,8,3,1,5,1,0,3,4,35,10,2.99,94.29
9,6,3,4,3,1,0,4,2,40,8,6,127.5
8,7,3,4,3,1,0,4,2,45,10,3.85,68.89
1,6,3,1,4,1,0,4,2,35,20.76,3.73,111.43
10,7,3,1,3,1,0,3,2,35,21.77,3.53,75.71
19,6,3,4,2,1,0,3,2,30,9.38,3.62,46.67
5,2,3,4,5,1,0,4,4,37,11,3.89,148.65
8,5,3,1,5,1,1,6,4,50,17.33,3.57,70
7,6,3,1,1,1,0,2,1,40,9.5,2.61,62.5
6,13,3,4,2,1,0,3,2,24,4,6,120.83
8,7,3,1,4,1,0,4,4,40,36.2,2.29,57.5
6,8,3,1,4,1,0,4,4,36,7,5.14,94.44
8,4,3,4,2,1,0,3,4,54,14,3.24,59.26
12,2,3,1,2,1,0,3,4,35,9,3.43,39
1,3,3,1,7,1,0,4,7,40,8,3.21,147.5
8,3,3,1,4,1,0,3,2,47,17.22,3.65,76.6
3,6,2,1,5,2,0,4,5,95,11.88,8,300
6,9,2,1,2,1,0,3,4,42,8,3.57,202.38
6,18,3,1,6,2,0,3,6,30,5.26,5.7,103.33
12,2,3,1,4,1,1,4,2,68,11,6.8,79.41
4,14,3,1,5,1,0,5,3,40,10,3.58,63.75
7,20,3,1,4,1,0,4,4,30,25.59,3.77,66.67
5,7,2,1,1,1,0,1,1,71,18,3.83,154.93
7,13,3,4,3,1,1,4,4,56,11.2,5,171.43
10,4,3,1,4,1,0,4,3,36,9,4,74.17
6,6,2,1,4,1,1,4,3,52,21.91,2.25,110.58
6,9,2,1,5,1,0,3,3,36,21.55,3.49,133.33
8,7,3,4,6,1,0,6,6,35,9,3.47,74.29
6,5,3,1,4,1,0,4,4,40,25.36,3.66,92.5
7,6,3,1,6,2,0,4,5,30,10,2.52,75
4,1,2,1,6,2,1,4,5,44,7.33,6,162.5
10,12,2,1,4,1,1,4,2,50,28.33,3.2,95
6,15,3,4,5,2,0,4,4,30,10.46,3.55,193.33
8,2,3,4,1,1,0,1,1,44,5,9,90.91
10,10,3,1,4,1,0,3,3,32,9.8,3.46,51.88
3,6,3,1,4,1,0,4,3,62,12,5.2,109.68
5,7,2,1,6,1,0,10,6,91,16,5.69,269.23
11,12,3,1,4,1,0,4,3,68,13.6,5,63.97
4,1,3,1,3,1,0,2,2,63,18,3.58,71.43
9,6,3,4,1,1,0,3,1,30,10,3.69,99.33
6,10,3,1,4,1,0,4,4,40,17.27,3.56,140
1,13,3,1,5,1,0,6,4,45,29.33,2.62,105.56
12,7,2,4,6,2,1,4,6,30,8,3.39,88.33
28,11,3,1,3,1,0,4,4,39,8,3.8,69.23
5,3,3,4,3,1,0,4,3,40,7.14,5.6,97.5
1,1,3,4,1,1,0,2,1,35,23.69,3.78,91.43
6,2,3,1,3,1,0,2,4,16,7.6,3.92,84.38
10,5,2,1,3,1,1,4,2,39,9.5,3.49,60.26
7,6,3,1,3,1,0,3,2,17,5,2.45,97.06
4,6,3,4,1,1,0,3,1,31,12.12,3.16,75.81
1,3,3,1,5,1,0,4,3,46,15.68,4,103.26
10,11,2,1,5,2,0,4,4,50,13,3.26,107
8,3,3,1,5,2,0,3,4,40,4,3.98,76.25
4,1,3,1,6,1,0,6,5,45,15.46,3.84,115.56
5,7,3,1,5,2,0,4,5,34,7,3.32,120.59
7,15,2,1,5,2,0,3,4,36,17.04,3.34,80.56
1,6,3,1,4,1,0,3,3,32,5.33,6,121.56
1,6,3,1,4,1,0,3,2,38,6.33,6,102.37
10,5,3,1,3,1,1,3,2,52,13,3.75,46.15
8,9,3,1,3,1,1,3,3,56,21.47,3.81,86.61
28,8,3,1,4,1,0,6,4,60,15,3.68,39.17
8,8,3,1,4,1,0,3,4,20,10.27,3.85,60
10,16,3,1,1,1,0,3,1,30,8,2.92,53.33
7,18,3,1,5,1,0,3,5,25,8,3.09,46
10,11,2,1,5,1,1,4,5,48,12,3.57,111.46
6,7,3,1,5,2,0,3,4,32,6,5.3,103.13
6,7,2,1,5,2,0,3,3,38,18.6,3.8,126.84
8,13,3,1,4,1,0,4,4,40,39.94,3.09,50
1,6,2,1,6,2,0,5,6,40,14.22,3.71,220
6,20,2,1,2,1,1,3,3,36,4,9,109.72
9,10,4,1,4,1,1,5,2,55,24.77,3.68,86.36
6,5,3,1,4,1,0,3,4,38,31.57,3.69,105.26
6,10,3,1,4,1,0,2,2,38,18.2,3.26,78.42
19,6,3,1,3,1,0,3,3,30,6,2.37,46
8,5,1,1,5,2,1,6,4,68,6.8,10,101.47
10,15,2,1,4,1,1,6,2,90,32.93,3.74,100
9,5,3,1,5,1,0,4,4,35,18.02,2.24,85.71
6,4,3,1,4,1,1,4,4,60,29.14,3.97,75
4,7,3,1,2,1,0,3,3,41,37.85,3.4,97.56
9,4,2,1,5,1,1,3,3,45,31.47,3.92,160
6,10,3,1,3,1,0,3,4,28,10.76,2.63,82.14
9,9,3,1,5,2,0,3,4,34,22.79,3.96,76.47
9,2,2,4,3,1,1,5,2,45,12,3.79,60
10,16,3,1,4,1,1,4,3,48,12,3.5,29.17
27,3,3,1,5,2,0,4,5,31,10,3.51,50.32
1,4,3,1,4,1,0,3,4,32,7,3.73,178.13
10,6,3,1,4,1,0,3,2,33,5.3,6,66.06
4,7,3,1,2,1,0,4,4,72,18,2.32,54.17
5,1,3,1,5,1,0,3,4,33,29.25,3.97,103.03
6,15,3,4,1,1,0,3,1,26,8,35,73.08
1,7,3,1,5,1,0,6,3,48,13,3.63,97.92
5,1,3,1,4,1,0,4,2,35,23.22,3.39,92.86
1,13,3,1,4,1,0,4,4,38,16.85,3.08,78.95
28,13,2,1,1,1,1,2,1,106,24,3.42,52.83
10,14,3,1,4,1,0,3,3,33,25,3.56,72.42
6,19,2,1,3,1,0,4,3,45,38.95,2.26,106.67
10,10,3,1,4,1,0,3,2,32,9,3.4,47.81
8,2,3,4,2,1,0,3,4,34,10,3.61,79.41
8,3,3,4,4,1,0,5,2,40,27,3.27,62.5
7,1,3,1,4,1,0,3,2,56,11.2,5,58.93
1,9,3,1,5,1,0,3,4,34,9,2.51,110.59
7,6,3,1,3,1,0,3,4,35,4,9,61.43
6,1,2,1,5,1,0,7,4,67,26,3.98,231.34
10,10,3,1,5,1,0,4,3,32,9.5,2.44,54.69
7,3,3,1,4,1,0,3,2,20,11.04,3.75,70
7,15,3,4,2,1,1,3,4,54,27.06,2.85,87.04
8,3,3,1,5,2,0,3,5,45,4,3.83,66.67
28,14,3,1,4,1,0,4,2,45,9,3.49,75.56
10,16,3,1,3,1,0,3,4,34,10,3.74,41.18
6,20,3,1,5,2,0,4,4,33,15.69,2.74,89.39
8,2,3,1,5,2,1,4,3,60,12,5,99.17
6,15,3,4,4,1,1,10,3,70,48.66,3.81,137.14
7,6,3,4,2,1,1,2,2,55,27.88,3.88,41.82
5,8,3,1,5,1,0,3,5,32,14.59,3.89,82.81
1,14,3,4,6,2,0,4,4,42,11,3.96,91.67
9,5,3,1,2,1,1,2,2,52,22.45,2.95,57.69
5,8,3,1,3,1,0,3,2,33,10,2.31,84.85
11,12,3,1,4,1,1,4,2,50,12.5,3.63,48
7,6,3,1,4,1,0,5,3,30,14.09,3.88,103.33
5,1,3,1,3,1,1,4,2,50,9,5.6,70
4,6,2,1,5,1,1,4,5,35,7,2.84,60
8,1,3,4,2,1,0,3,2,38,10,3.99,72.63
8,8,3,1,4,1,0,3,4,40,17.06,3.45,52.5
10,14,3,1,5,2,0,3,4,33,28.78,2.7,87.88
12,2,3,1,4,1,0,4,4,36,10,3.06,81.94
6,6,2,1,5,2,0,8,3,60,12,5,366.67
9,4,3,1,4,1,0,3,2,45,17.19,3.34,74.44
7,16,2,1,3,1,1,2,2,15,5,3.28,110
19,8,3,1,4,1,0,4,3,33,9,35,63.64
11,12,3,1,5,1,0,3,3,36,9,3.68,77.78
11,1,3,1,5,2,1,4,3,51,13.5,3.74,90.2
8,6,3,1,1,1,0,1,1,30,18.53,3.67,55
8,8,3,1,4,1,0,2,4,37,24.83,3.58,81.08
9,5,2,3,3,1,1,3,3,43,7.8,5.2,53.49
6,9,3,1,4,1,1,4,4,72,14.5,5,100
9,5,3,4,1,1,0,3,1,34,10,2.25,94.12
10,8,2,1,5,2,0,4,3,50,40.88,3.97,84
7,10,3,4,2,1,0,3,3,40,7,6,85
6,7,3,4,4,1,0,4,4,45,12,3.51,121.11
10,7,2,1,5,2,0,4,4,28,7,3.76,75
9,5,3,4,4,1,1,6,3,55,11,3.07,89.09
4,6,3,1,5,1,0,3,5,33,8,3.71,74.24
6,12,3,1,1,1,0,2,1,34,11,3.29,88.24
9,4,2,1,5,2,0,4,4,74,14.8,5,97.3
6,6,3,1,4,1,0,4,3,50,12.5,3.62,115
1,1,2,1,6,1,1,4,5,35,9,2.35,250
9,4,2,1,4,1,0,5,2,50,12,3.92,140
6,10,3,1,4,1,1,4,2,58,38.43,3.91,74.14
8,4,3,1,1,1,0,3,1,30,10,3.73,81.67
9,5,2,1,1,1,1,3,1,38,15.5,3.54,131.58
1,7,3,1,3,1,0,4,2,45,18.2,3.84,80
9,3,3,1,4,1,0,4,3,43,8,2.75,67.44
3,1,3,1,5,1,0,4,4,43,9,3.12,139.53
8,8,3,1,4,1,0,3,2,40,31.57,3.32,55
5,3,2,1,4,1,0,4,4,35,34.91,3.37,115.71
1,1,3,1,4,1,0,4,4,36,25.55,2.95,116.67
7,3,3,4,1,1,0,2,1,24,11.73,3.56,61.25
9,5,2,1,4,1,1,5,3,46,11.5,2.45,147.83
8,5,3,1,5,2,1,5,5,50,10.5,3.29,60
8,2,4,1,5,2,0,5,5,76,16.5,3.24,118.29
6,21,3,4,6,2,0,4,6,44,23.15,3.81,181.82
10,5,2,1,5,2,1,4,3,38,10,2.98,60
10,2,3,1,5,2,0,4,5,32,8,3.75,59.38
2,2,3,3,2,1,0,2,2,32,11,3.21,281.25
3,8,2,1,3,1,1,4,2,86,17.2,5,98.84
28,10,3,1,4,1,0,4,2,38,10,3.07,55.26
6,5,3,1,4,1,0,5,3,32,8,3.57,75
9,11,3,1,4,1,0,2,3,30,10.46,3.38,78.33
5,6,3,1,5,2,0,5,5,52,13,3.82,130.77
6,15,3,1,3,1,0,2,4,41,14,3.53,92.68
6,11,3,1,3,1,0,4,4,50,25.72,2.38,86
10,15,3,1,4,1,0,3,4,35,10,3.28,71.43
8,7,3,1,5,2,0,5,4,33,21.44,3.76,84.55
10,16,3,1,4,1,0,3,4,34,9,3.07,53.82
1,4,3,1,5,1,0,3,3,35,16.95,3.82,85.71
7,18,3,4,2,1,0,3,4,40,20.83,2.01,80
10,15,3,1,5,2,1,6,3,55,5.5,10,78.18
10,16,3,1,4,1,0,4,2,31,9.25,3.73,63.55
4,9,3,4,1,1,0,2,1,38,6.33,6,63.16
9,4,2,1,8,2,1,6,7,100,11.9,8.4,210
6,18,3,4,1,1,0,3,1,21,8.08,2.65,119.05
6,10,3,1,5,1,0,3,4,30,6,3.83,120
5,5,3,1,5,1,1,6,4,55,10,5.5,118.18
10,16,3,1,4,1,0,3,2,33,9,2.37,51.52
2,15,3,1,4,1,0,3,4,36,12,3.38,44.44
5,7,2,1,5,1,0,4,4,48,12,3.67,203.13
5,5,3,1,5,1,0,4,3,45,19.91,3.32,117.78
5,7,3,1,6,2,0,5,5,45,14,3.65,95.56
10,16,3,1,4,1,0,3,4,32,8,3.77,50
